               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059627,            0.034156,            0.043414,              0.6054,             0.69834,              0.6855,             0.35268,            0.044144,            0.015388,            0.014287,           0.0033268,           0.0033268,            0.070058
                   1,            0.046603,            0.027803,            0.018994,             0.70184,             0.67352,             0.72373,              0.4504,             0.03709,            0.016314,            0.014281,           0.0066598,           0.0066598,            0.040058
                   2,             0.04445,            0.030806,            0.021791,             0.59668,             0.46124,             0.49023,             0.26098,            0.042529,             0.02135,            0.024151,           0.0099913,           0.0099913,            0.010056
                   3,            0.044185,            0.034757,            0.026837,             0.54287,             0.49115,              0.4936,             0.26543,            0.041618,            0.021795,             0.02192,            0.009995,            0.009995,            0.009995
                   4,            0.041869,            0.033271,            0.023413,             0.62478,             0.55652,             0.58475,             0.33358,            0.039238,            0.020302,            0.017892,            0.009995,            0.009995,            0.009995
                   5,            0.039873,            0.032086,            0.020504,             0.65786,             0.57046,             0.61789,             0.35872,            0.037567,            0.019304,            0.015615,           0.0099911,           0.0099911,           0.0099911
                   6,            0.038615,            0.031876,            0.018962,              0.6875,             0.61326,             0.66376,             0.40141,            0.035858,            0.018861,            0.013765,           0.0099861,           0.0099861,           0.0099861
                   7,            0.037458,            0.030877,            0.016958,             0.67584,             0.59803,             0.64363,             0.39247,             0.03687,            0.019155,            0.014964,             0.00998,             0.00998,             0.00998
                   8,            0.036736,            0.030364,            0.016843,             0.73278,             0.59789,             0.67332,             0.41657,             0.03554,            0.018816,             0.01396,           0.0099728,           0.0099728,           0.0099728
                   9,            0.036018,            0.029956,            0.015658,             0.72419,             0.64768,             0.70705,             0.43753,            0.034511,             0.01825,            0.012011,           0.0099645,           0.0099645,           0.0099645
